Title,Authors,Publication Date,DOI,Source
Enhanced Intrusion Detection with Data Stream Classification and Concept Drift Guided by the Incremental Learning Genetic Programming Combiner,Shyaa M.A.,2023-04-01,10.3390/s23073736,Sensors
An explainable predictive model for suicide attempt risk using an ensemble learning and Shapley Additive Explanations (SHAP) approach,Nordin N.,2023-01-01,10.1016/j.ajp.2022.103316,Asian Journal of Psychiatry
Suicidal behaviour prediction models using machine learning techniques: A systematic review,Nordin N.,2022-10-01,10.1016/j.artmed.2022.102395,Artificial Intelligence in Medicine
An FPP-resistant SVD-based image watermarking scheme based on chaotic control,Alshoura W.H.,2022-07-01,10.1016/j.aej.2021.10.052,Alexandria Engineering Journal
Explainable Machine Learning Models for Suicidal Behavior Prediction,Nordin N.,2022-05-15,10.1145/3545729.3545754,ACM International Conference Proceeding Series
A Systematic Review on Systems-Based Sensory Gloves for Sign Language Pattern Recognition: An Update from 2017 to 2022,Saeed Z.R.,2022-01-01,10.1109/ACCESS.2022.3219430,IEEE Access
Automatic Detection of Learning Styles: A Decade Review on Data-driven Approaches,Ngatirin N.R.,2021-08-27,10.1088/1742-6596/1997/1/012001,Journal of Physics: Conference Series
Prediction of COVID-19 cases in Malaysia by using machine learning: A preliminary testing,Kamarudin A.N.A.,2021-03-30,10.1109/WIDSTAIF52235.2021.9430222,"2021 International Conference of Women in Data Science at Taif University, WiDSTaif 2021"
Forecasting the dengue outbreak using machine learning algorithm: A review,Kamarudin A.N.A.,2021-03-30,10.1109/WIDSTAIF52235.2021.9430193,"2021 International Conference of Women in Data Science at Taif University, WiDSTaif 2021"
Towards TBM automation: On-the-fly characterization and classification of ground conditions ahead of a TBM using data-driven approach,Sebbeh-Newton S.,2021-02-01,10.3390/app11031060,Applied Sciences (Switzerland)
Multiple Filter-Based Rankers to Guide Hybrid Grasshopper Optimization Algorithm and Simulated Annealing for Feature Selection with High Dimensional Multi-Class Imbalanced Datasets,Sharifai A.G.,2021-01-01,10.1109/ACCESS.2021.3081366,IEEE Access
Hybrid SVD-Based Image Watermarking Schemes: A Review,Alshoura W.H.,2021-01-01,10.1109/ACCESS.2021.3060861,IEEE Access
A comparative study of machine learning techniques for suicide attempts predictive model,Nordin N.,2021-01-01,10.1177/1460458221989395,Health Informatics Journal
Predicting the misconception of dengue disease based on the awareness survey,Kamarudin A.N.A.,2020-08-01,10.11591/eei.v9i4.2390,Bulletin of Electrical Engineering and Informatics
Feature selection for high-dimensional and imbalanced biomedical data based on robust correlation based redundancy and binary grasshopper optimization algorithm,Sharifai G.A.,2020-07-01,10.3390/genes11070717,Genes
Feature Selection for High-Dimensional and Imbalanced Biomedical Data Based on Robust Correlation Based Redundancy and Binary Grasshopper Optimization Algorithm,Abdulrauf Sharifai G.,2020-06-27,10.3390/genes11070717,Genes
A New Chaotic Image Watermarking Scheme Based on SVD and IWT,Alshoura W.H.,2020-01-01,10.1109/ACCESS.2020.2978186,IEEE Access
The correlation-based redundancy multiple-filter approach for gene selection,Sharifai A.G.,2020-01-01,10.1504/IJDMB.2020.105437,International Journal of Data Mining and Bioinformatics
A flexible schema for document oriented database (SDOD),Hamouda S.,2019-01-01,10.5220/0008353504130419,"IC3K 2019 - Proceedings of the 11th International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management"
Semi-structured data model for big data (SS-DMBD),Hamouda S.,2019-01-01,10.5220/0007957603480356,"DATA 2019 - Proceedings of the 8th International Conference on Data Science, Technology and Applications"
The improved hybrid algorithm for the Atheer and Berry-ravindran algorithms,Abdul Razzaq A.A.,2018-12-01,10.11591/ijece.v8i6.pp.4321-4333,International Journal of Electrical and Computer Engineering
Flowgraph model for anti-collision authentication process in RFID system,Tan A.,2018-10-01,10.1016/j.measurement.2018.05.077,Measurement: Journal of the International Measurement Confederation
Document-Oriented Data Schema for Relational Database Migration to NoSQL,Hamouda S.,2018-03-14,10.1109/Innovate-Data.2017.13,"Proceedings - 2017 International Conference on Big Data Innovations and Applications, Innovate-Data 2017"
Fuzzy case-based approach for detection of learning styles: A proposed model,Ngatirin N.R.,2018-01-01,10.3923/jeasci.2018.321.327,Journal of Engineering and Applied Sciences
The quranic philosophy on superiority of audio sense against visual sense based on the book of exegesis and science reports,Sempo M.W.,2017-05-01,10.1166/asl.2017.8890,Advanced Science Letters
A comparative study of different classifiers for automatic personality prediction,Ngatirin N.R.,2017-04-05,10.1109/ICCSCE.2016.7893613,"Proceedings - 6th IEEE International Conference on Control System, Computing and Engineering, ICCSCE 2016"
Personality prediction based on social media using decision tree algorithm,Yoong T.,2017-04-01,N/A,Pertanika Journal of Science and Technology
Mobile Agile Peer Assisted Learning,Ngatirin N.,2016-12-14,10.1109/ICCOINS.2016.7783191,"2016 3rd International Conference on Computer and Information Sciences, ICCOINS 2016 - Proceedings"
New searching technique of hybrid exact string matching algorithm,Razzaq A.,2016-01-01,10.15866/irecos.v11i10.10321,International Review on Computers and Software
A framework of an automatic assessment system for learning programming,Rashid N.A.,2016-01-01,10.1007/978-3-319-24584-3_82,Lecture Notes in Electrical Engineering
Collaborative Learning Environment with Think-Pair-Share Method and Learning Tools for Learning Arabic Online,Majid O.B.,2015-09-25,10.1109/NOORIC.2013.27,"Proceedings - 2013 Taibah University International Conference on Advances in Information Technology for the Holy Quran and Its Sciences, NOORIC 2013"
Flowgraph models for estimating total time of authentication process in RFID system,Tan A.T.,2013-06-01,10.1016/j.jfranklin.2013.03.004,Journal of the Franklin Institute
XML documents normalization using GN-DTD,Zainol Z.,2013-04-30,10.4018/978-1-4666-3898-3.ch005,Information Retrieval Methods for Multidisciplinary Applications
M-umrah: An android-based application to help pilgrims in performing Umrah,Mohamed H.H.,2013-01-01,10.1109/ACSAT.2013.82,"Proceedings - 2013 International Conference on Advanced Computer Science Applications and Technologies, ACSAT 2013"
GN-DTD: Graphical notations for describing XML documents,Zainol Z.,2010-07-16,10.1109/DBKDA.2010.29,"2nd International Conference on Advances in Databases, Knowledge, and Data Applications, DBKDA 2010"
XML document design via GN-DTD,Zainol Z.,2010-01-01,N/A,European Journal of Scientific Research
Novices' expectations in gaining theoretical knowledge and practical skills in software development or maintenance,Sulaiman S.,2008-12-01,N/A,"Proceedings of the IASTED International Conference on Software Engineering, SE 2008"
Duplicate detection for protein data using simple close algorithm,Zainol Z.,2007-12-01,10.1109/DFMA.2006.296908,Proceedings of DFMA 2006 - 2nd International Conference on Distributed Frameworks for Multimedia Applications
Face feature extraction using Bayesian network,Dol Z.,2006-12-01,10.1145/1174429.1174475,Proceedings - GRAPHITE 2006: 4th International Conference on Computer Graphics and Interactive Techniques in Australasia and Southeast Asia
A system to integrate and manipulate protein database using BioPerl and XML,Zainol Z.,2005-12-01,N/A,Proceedings - Wec 05: Fourth World Enformatika Conference
