Title,Authors,Publication Date,DOI,Source
SoLGR: Social Enhancement Group Recommendation via Light Graph Convolution Networks,Hong T.,2023-01-01,10.1109/ACCESS.2023.3280629,IEEE Access
Building a Recommendation System of Consumers' Preferable Choice Using a Collaborative-Filtering,Velloo N.,2023-01-01,10.1109/IMCOM56909.2023.10035543,"Proceedings of the 2023 17th International Conference on Ubiquitous Information Management and Communication, IMCOM 2023"
The Impact of Industrial Revolution 4.0 and the Future of the Workforce: A Study on Malaysian IT Professionals,Husin M.H.,2022-01-01,10.1177/08944393221117268,Social Science Computer Review
Analysing political candidates’ popularity on social media using POPularity MONitoring (POPMON),Zainol Z.,2021-01-24,N/A,SEARCH Journal of Media and Communication Research
Exploring the sentiment and online review of multilevel marketing (MLM) company products,Rusli H.S.,2021-01-01,N/A,Proceedings of the International Conference on Industrial Engineering and Operations Management
Decoding the sentiment dynamics of online retailing customers: Time series analysis of social media,Ibrahim N.,2019-07-01,10.1016/j.chb.2019.02.004,Computers in Human Behavior
A text analytics approach for online retailing service improvement: Evidence from Twitter,Ibrahim N.,2019-06-01,10.1016/j.dss.2019.03.002,Decision Support Systems
Exploring the effect of user engagement in online brand communities: Evidence from Twitter,Ibrahim N.F.,2017-07-01,10.1016/j.chb.2017.03.005,Computers in Human Behavior
Historical hashtags: An investigation of the '#CometLanding' tweets,Ibrahim N.F.,2017-01-01,N/A,Proceedings of the International Conference on Industrial Engineering and Operations Management
"Mining social network content of online retail brands: An exploration of engagement, sentiment analysis and topic modelling",Ibrahim N.,2017-01-01,N/A,Proceedings of the International Conference on Industrial Engineering and Operations Management
Mining social network content of online retail brands: A machine learning approach,Ibrahim N.F.,2017-01-01,N/A,"Proceedings of the 11th European Conference on Information Systems Management, ECISM 2017"
Designing online service: From state-of-the-art to a unified framework,Ibrahim N.F.,2016-01-01,10.5220/0005815502550262,WEBIST 2016 - Proceedings of the 12th International Conference on Web Information Systems and Technologies
