Title,Authors,Publication Date,DOI,Source
Development of dual cognitive task virtual reality game addressing stroke rehabilitation,Mohd Hashim S.H.,2019-02-23,10.1145/3332305.3332312,ACM International Conference Proceeding Series
Framework of virtual reality game on dual cognitive task for stroke rehabilitation,Hashim S.,2018-07-05,10.1109/ISCAIE.2018.8405454,ISCAIE 2018 - 2018 IEEE Symposium on Computer Applications and Industrial Electronics
Anomaly detection based on profile signature in network using machine learning technique,Atefi K.,2016-07-22,10.1109/TENCONSpring.2016.7519380,"Proceedings - 2016 IEEE Region 10 Symposium, TENSYMP 2016"
Game engine framework for Non-Programming background,Mohd Hashim S.H.,2016-01-08,10.1109/ICOS.2015.7377271,ICOS 2015 - 2015 IEEE Conference on Open Systems
