Title,Authors,Publication Date,DOI,Source
Finding the Link between Cyberbullying and Suicidal Behaviour among Adolescents in Peninsular Malaysia,Fadhli S.A.M.,2022-05-01,10.3390/healthcare10050856,Healthcare (Switzerland)
English-Malay Cross-Lingual Embedding Alignment using Bilingual Lexicon Augmentation,Hao L.Y.,2022-01-01,N/A,Proceedings of the Annual Meeting of the Association for Computational Linguistics
XLNET-GRU Sentiment Regression Model for Cryptocurrency News in English and Malay,Zamani N.A.M.,2022-01-01,N/A,"Proceedings of the Language Resources and Evaluation Conference, LREC 2022 Workshop on 4th Financial Narrative Processing Workshop, FNP 2022"
Cryptocurrency Price Prediction using Bi-GRU Model with English and Malay News Sentiment Features,Zamani N.A.M.,2022-01-01,10.1109/AiDAS56890.2022.9918725,"2022 3rd International Conference on Artificial Intelligence and Data Sciences: Championing Innovations in Artificial Intelligence and Data Sciences for Sustainable Future, AiDAS 2022 - Proceedings"
English-Malay Word Embeddings Alignment for Cross-lingual Emotion Classification with Hierarchical Attention Network,Hao L.Y.,2022-01-01,N/A,"WASSA 2022 - 12th Workshop on Computational Approaches to Subjectivity, Sentiment and Social Media Analysis, Proceedings of the Workshop"
Fine-grained Emotion Classification: Class Imbalance Effects on Classifier Performance,Suet Yan J.L.,2021-07-13,10.1109/ICCOINS49721.2021.9497181,"Proceedings - International Conference on Computer and Information Sciences: Sustaining Tomorrow with Digital Innovation, ICCOINS 2021"
Lightweight block cipher security evaluation based on machine learning classifiers and active s-boxes,Lee T.R.,2021-01-01,10.1109/ACCESS.2021.3116468,IEEE Access
A Deep Learning Approach for Active S-Box Prediction of Lightweight Generalized Feistel Block Ciphers,Idris M.F.,2021-01-01,10.1109/ACCESS.2021.3099802,IEEE Access
Going Big and Deep: Using Convolutional Neural Network to Leverage Training Data from Multiple Domains for Cross-Domain Sentiment Classification on Product Reviews,Gupta A.,2020-09-26,10.1109/IICAIET49801.2020.9257815,"IEEE International Conference on Artificial Intelligence in Engineering and Technology, IICAIET 2020"
A Text Augmentation Approach using Similarity Measures based on Neural Sentence Embeddings for Emotion Classification on Microblogs,Shyang Y.K.,2020-09-26,10.1109/IICAIET49801.2020.9257826,"IEEE International Conference on Artificial Intelligence in Engineering and Technology, IICAIET 2020"
A machine learning approach to predicting block cipher security,Lee T.R.,2020-01-01,N/A,"Proceedings of the 7th International Cryptology and Information Security Conference 2020, CRYPTOLOGY 2020"
Effect of sampling strategies on fine-grained emotion classification in microblog text,Yan J.L.S.,2019-09-01,10.1109/AiDAS47888.2019.8970953,"Proceedings - 2019 1st International Conference on Artificial Intelligence and Data Sciences, AiDAS 2019"
Affect in the ICT context,Yan J.L.S.,2017-01-01,10.4324/9781315619361,The Routledge Companion to Management Information Systems
Exploring fine-grained emotion detection in tweets,Yan J.L.S.,2016-01-01,N/A,"HLT-NAACL 2016 - 2016 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Proceedings of the Student Research Workshop"
EmoTweet-28: A fine-grained emotion corpus for sentiment analysis,Yan J.L.S.,2016-01-01,N/A,"Proceedings of the 10th International Conference on Language Resources and Evaluation, LREC 2016"
Exposing a set of fine-grained emotion categories from tweets,Yan J.L.S.,2016-01-01,N/A,CEUR Workshop Proceedings
Discovering emotions in the wild: An inductive method to identify fine-grained emotion categories in tweets,Yan J.L.S.,2015-01-01,N/A,"Proceedings of the 28th International Florida Artificial Intelligence Research Society Conference, FLAIRS 2015"
Optimizing Features in Active Machine Learning for Complex Qualitative Content Analysis,Yan J.L.S.,2014-01-01,N/A,Proceedings of the Annual Meeting of the Association for Computational Linguistics
Expanding the Range of Automatic Emotion Detection in Microblogging Text,Yan J.L.S.,2014-01-01,N/A,"EACL 2014 - 14th Conference of the European Chapter of the Association for Computational Linguistics, Proceedings of the Student Research Workshop"
The intellectual characteristics of the information field: Heritage and substance,Zhang P.,2013-12-01,10.1002/asi.22941,Journal of the American Society for Information Science and Technology
Conceptualizations of technology in the information field,Yan J.L.S.,2013-01-01,10.1002/meet.14505001132,Proceedings of the ASIST Annual Meeting
What is a tweet worth? Measuring the value of social media for an academic institution,Yan J.L.S.,2012-03-06,10.1145/2132176.2132290,ACM International Conference Proceeding Series
CDES: A pixel-based crowd density estimation system for Masjid al-Haram,Hussain N.,2011-07-01,10.1016/j.ssci.2011.01.005,Safety Science
Socially-interactive dressing room: An iterative evaluation on interface design,Yan J.L.S.,2011-01-01,10.1145/1979742.1979925,Conference on Human Factors in Computing Systems - Proceedings
