Title,Authors,Publication Date,DOI,Source
Salak Image Classification Method Based Deep Learning Technique Using Two Transfer Learning Models,Theng L.W.,2023-01-01,10.1007/978-3-031-17576-3_4,Studies in Computational Intelligence
Comparison of Pre-trained and Convolutional Neural Networks for Classification of Jackfruit Artocarpus integer and Artocarpus heterophyllus,Ong S.Q.,2023-01-01,10.1007/978-3-031-17576-3_6,Studies in Computational Intelligence
Image Processing Identification for Sapodilla Using Convolution Neural Network (CNN) and Transfer Learning Techniques,Khazalah A.,2023-01-01,10.1007/978-3-031-17576-3_5,Studies in Computational Intelligence
Rambutan Image Classification Using Various Deep Learning Approaches,Anuar N.A.,2023-01-01,10.1007/978-3-031-17576-3_2,Studies in Computational Intelligence
Artocarpus Classification Technique Using Deep Learning Based Convolutional Neural Network,Pen L.Z.,2023-01-01,10.1007/978-3-031-17576-3_1,Studies in Computational Intelligence
Mango Varieties Classification-Based Optimization with Transfer Learning and Deep Learning Approaches,Ke C.,2023-01-01,10.1007/978-3-031-17576-3_3,Studies in Computational Intelligence
Markisa/Passion Fruit Image Classification Based Improved Deep Learning Approach Using Transfer Learning,Abdo A.,2023-01-01,10.1007/978-3-031-17576-3_7,Studies in Computational Intelligence
Classification of jackfruit and cempedak using convolutional neural network and transfer learning,Sumari P.,2022-12-01,10.11591/ijai.v11.i4.pp1353-1361,IAES International Journal of Artificial Intelligence
Disruption of white matter integrity and its relationship with cognitive function in non-severe traumatic brain injury,Abdullah A.N.,2022-10-11,10.3389/fneur.2022.1011304,Frontiers in Neurology
IoT-Based Waste Management System in Formal and Informal Public Areas in Mecca,Abdullah N.,2022-10-01,10.3390/ijerph192013066,International Journal of Environmental Research and Public Health
Black hole algorithm: A comprehensive survey,Abualigah L.,2022-08-01,10.1007/s10489-021-02980-5,Applied Intelligence
ENHANCED SPATIAL PYRAMID POOLING AND INTERSECTION OVER UNION IN YOLOV4 FOR REAL-TIME GROCERY RECOGNITION SYSTEM,Syed S.J.,2022-06-30,N/A,Journal of Theoretical and Applied Information Technology
Integrated Approach to Achieve a Sustainable Organic Waste Management System in Saudi Arabia,Abdullah N.,2022-05-01,10.3390/foods11091214,Foods
Neural alterations in working memory of mild-moderate TBI: An fMRI study in Malaysia,Chai W.J.,2022-04-01,10.1002/jnr.25023,Journal of Neuroscience Research
Reptile Search Algorithm (RSA): A nature-inspired meta-heuristic optimizer,Abualigah L.,2022-04-01,10.1016/j.eswa.2021.116158,Expert Systems with Applications
